company,rank,revenues,profits,employees,sector,city,state,ceo_founder,ceo_woman,profitable,market_cap,website,ticker,assets,revenue_usd_millions,profit_usd_millions,market_cap_usd_millions,assets_usd_millions,documented_adoption_edges,documented_investment_edges,documented_ai_company
Walgreens Boots Alliance,28,$139081MM,$-3080MM,268500,Food & Drug Stores,Deerfield,Illinois,no,no,no,$18712.3MM,https://www.walgreensbootsalliance.com,WBA,$96628MM,139081.0,-3080.0,18712.3,96628.0,0,0,0
Valero Energy,29,$139001MM,$8835MM,9897,Energy,San Antonio,Texas,no,no,yes,$56234.5MM,https://www.valero.com,VLO,$63056MM,139001.0,8835.0,56234.5,63056.0,0,0,0
Meta Platforms,30,$134902MM,$39098MM,67317,Technology,Menlo Park,California,yes,no,yes,$1237940.1MM,https://investor.fb.com,META,$229623MM,134902.0,39098.0,1237940.1,229623.0,0,0,0
Verizon Communications,31,$133974MM,$11614MM,105400,Telecommunications,New York,New York,no,no,yes,$176651.6MM,https://www.verizon.com,VZ,$380255MM,133974.0,11614.0,176651.6,380255.0,0,0,0
AT&T,32,$122428MM,$14400MM,150470,Telecommunications,Dallas,Texas,no,no,yes,$125889.1MM,https://www.att.com,T,$407060MM,122428.0,14400.0,125889.1,407060.0,0,0,0
Comcast,33,$121572MM,$15388MM,186000,Telecommunications,Philadelphia,Pennsylvania,no,no,yes,$172180MM,https://www.comcastcorporation.com,CMCSA,$264811MM,121572.0,15388.0,172180.0,264811.0,0,0,0
Wells Fargo,34,$115340MM,$19142MM,226000,Financials,San Francisco,California,no,no,yes,$205201.8MM,https://www.wellsfargo.com,WFC,$1932468MM,115340.0,19142.0,205201.8,1932468.0,1,0,1
Goldman Sachs Group,35,$108418MM,$8516MM,45300,Financials,New York,New York,no,no,yes,$135551.7MM,https://www.goldmansachs.com,GS,$1641594MM,108418.0,8516.0,135551.7,1641594.0,0,0,0
Freddie Mac,36,$108050MM,$10538MM,8020,Financials,McLean,Virginia,no,no,yes,$877.6MM,https://www.freddiemac.com,FMCC,$3280976MM,108050.0,10538.0,877.6,3280976.0,0,0,0
Target,37,$107412MM,$4138MM,415000,Retailing,Minneapolis,Minnesota,no,no,yes,$81816.1MM,https://www.target.com,TGT,$55356MM,107412.0,4138.0,81816.1,55356.0,1,0,1
Humana,38,$106374MM,$2489MM,67600,Health Care,Louisville,Kentucky,no,no,yes,$41796.7MM,https://www.humana.com,HUM,$47065MM,106374.0,2489.0,41796.7,47065.0,0,0,0
State Farm Insurance,39,$104198.6MM,$-6272.3MM,65054,Financials,Bloomington,Illinois,no,no,no,$NAMM,https://www.statefarm.com,,$339484.7MM,104198.6,-6272.3,,339484.7,0,0,0
Tesla,40,$96773MM,$14997MM,140473,Motor Vehicles & Parts,Austin,Texas,yes,no,yes,$559854.3MM,https://www.tesla.com,TSLA,$106618MM,96773.0,14997.0,559854.3,106618.0,0,0,0
Morgan Stanley,41,$96194MM,$9087MM,80006,Financials,New York,New York,no,no,yes,$153976.9MM,https://www.morganstanley.com,MS,$1193693MM,96194.0,9087.0,153976.9,1193693.0,1,0,1
Johnson & Johnson,42,$95195MM,$35153MM,131900,Health Care,New Brunswick,New Jersey,no,no,yes,$381203.6MM,https://www.jnj.com,JNJ,$167558MM,95195.0,35153.0,381203.6,167558.0,0,0,0
Archer Daniels Midland,43,$93935MM,$3483MM,41008,"Food, Beverages & Tobacco",Chicago,Illinois,no,no,yes,$32023.6MM,https://www.adm.com,ADM,$54631MM,93935.0,3483.0,32023.6,54631.0,0,0,0
PepsiCo,44,$91471MM,$9074MM,318000,"Food, Beverages & Tobacco",Purchase,New York,no,no,yes,$240552.8MM,https://www.pepsico.com,PEP,$100495MM,91471.0,9074.0,240552.8,100495.0,1,0,1
United Parcel Service,45,$90958MM,$6708MM,382550,Transportation,Atlanta,Georgia,no,yes,yes,$126828.9MM,https://www.ups.com,UPS,$70857MM,90958.0,6708.0,126828.9,70857.0,0,0,0
FedEx,46,$90155MM,$3972MM,446400,Transportation,Memphis,Tennessee,no,no,yes,$71299.4MM,https://www.fedex.com,FDX,$87143MM,90155.0,3972.0,71299.4,87143.0,0,0,0
Walt Disney,47,$88898MM,$2354MM,199125,Media,Burbank,California,no,no,yes,$224445.2MM,https://www.thewaltdisneycompany.com,DIS,$205579MM,88898.0,2354.0,224445.2,205579.0,0,0,0
Dell Technologies,48,$88425MM,$3211MM,120000,Technology,Round Rock,Texas,yes,no,yes,$81450.6MM,https://www.delltechnologies.com/,DELL,$82089MM,88425.0,3211.0,81450.6,82089.0,0,0,0
Lowe's,49,$86377MM,$7726MM,226000,Retailing,Mooresville,North Carolina,no,no,yes,$145752.5MM,https://www.lowes.com,LOW,$41795MM,86377.0,7726.0,145752.5,41795.0,1,0,1
Procter & Gamble,50,$82006MM,$14653MM,107000,Household Products,Cincinnati,Ohio,no,no,yes,$381777.7MM,https://www.pginvestor.com,PG,$120829MM,82006.0,14653.0,381777.7,120829.0,1,0,1
Energy Transfer,51,$78586MM,$3935MM,13786,Energy,Dallas,Texas,no,no,yes,$52974.8MM,https://www.energytransfer.com,ET,$113698MM,78586.0,3935.0,52974.8,113698.0,0,0,0
Boeing,52,$77794MM,$-2222MM,171000,Aerospace & Defense,Arlington,Virginia,no,no,no,$117750MM,https://www.boeing.com,BA,$137012MM,77794.0,-2222.0,117750.0,137012.0,0,0,0
Albertsons,53,$77649.7MM,$1513.5MM,198650,Food & Drug Stores,Boise,Idaho,no,no,yes,$12350.3MM,https://www.albertsonscompanies.com,ACI,$26168.2MM,77649.7,1513.5,12350.3,26168.2,0,0,0
Sysco,54,$76324.7MM,$1770.1MM,71750,Wholesalers,Houston,Texas,no,no,yes,$40413.8MM,https://www.sysco.com,SYY,$22821.1MM,76324.7,1770.1,40413.8,22821.1,0,0,0
RTX,55,$68920MM,$3195MM,185000,Aerospace & Defense,Arlington,Virginia,no,no,yes,$129680.3MM,https://www.rtx.com,RTX,$161869MM,68920.0,3195.0,129680.3,161869.0,0,0,0
General Electric,56,$67954MM,$9481MM,125000,Industrials,Boston,Massachusetts,no,no,yes,$191901.2MM,https://www.ge.com,GE,$163045MM,67954.0,9481.0,191901.2,163045.0,0,0,0
Lockheed Martin,57,$67571MM,$6920MM,122000,Aerospace & Defense,Bethesda,Maryland,no,no,yes,$109394.2MM,https://www.lockheedmartin.com,LMT,$52456MM,67571.0,6920.0,109394.2,52456.0,0,0,0
American Express,58,$67364MM,$8374MM,74600,Financials,New York,New York,no,no,yes,$163945.6MM,https://www.americanexpress.com,AXP,$261108MM,67364.0,8374.0,163945.6,261108.0,0,0,0
Caterpillar,59,$67060MM,$10335MM,113200,Industrials,Irving,Texas,no,no,yes,$182986.8MM,https://www.caterpillar.com,CAT,$87476MM,67060.0,10335.0,182986.8,87476.0,0,0,0
MetLife,60,$66905MM,$1578MM,45000,Financials,New York,New York,no,no,yes,$53583MM,https://www.metlife.com,MET,$687584MM,66905.0,1578.0,53583.0,687584.0,0,0,0
HCA Healthcare,61,$64968MM,$5242MM,265000,Health Care,Nashville,Tennessee,no,no,yes,$88213.8MM,https://www.hcahealthcare.com,HCA,$56211MM,64968.0,5242.0,88213.8,56211.0,1,0,1
Progressive,62,$62108.5MM,$3902.4MM,61432,Financials,Mayfield Village,Ohio,no,yes,yes,$121134.1MM,https://www.progressive.com,PGR,$88690.8MM,62108.5,3902.4,121134.1,88690.8,0,0,0
IBM,63,$61860MM,$7502MM,296600,Technology,Armonk,New York,no,no,yes,$175061.6MM,https://www.ibm.com,IBM,$135241MM,61860.0,7502.0,175061.6,135241.0,0,0,0
Deere,64,$61251MM,$10166MM,82956,Industrials,Moline,Illinois,no,no,yes,$114332.9MM,https://www.deere.com,DE,$104087MM,61251.0,10166.0,114332.9,104087.0,0,0,0
Nvidia,65,$60922MM,$29760MM,29600,Technology,Santa Clara,California,yes,no,yes,$2258900MM,https://www.nvidia.com,NVDA,$65728MM,60922.0,29760.0,2258900.0,65728.0,0,0,0
StoneX Group,66,$60856.1MM,$238.5MM,4137,Financials,New York,New York,no,no,yes,$2216.7MM,https://www.stonex.com,SNEX,$21938.7MM,60856.1,238.5,2216.7,21938.7,0,0,0
Merck,67,$60115MM,$365MM,71000,Health Care,Rahway,New Jersey,no,no,yes,$334182.4MM,https://www.merck.com,MRK,$106675MM,60115.0,365.0,334182.4,106675.0,0,0,0
ConocoPhillips,68,$58574MM,$10957MM,9900,Energy,Houston,Texas,no,no,yes,$149733.3MM,https://www.conocophillips.com,COP,$95924MM,58574.0,10957.0,149733.3,95924.0,0,0,0
Pfizer,69,$58496MM,$2119MM,88000,Health Care,New York,New York,no,no,yes,$157135.5MM,https://www.pfizer.com,PFE,$226501MM,58496.0,2119.0,157135.5,226501.0,0,0,0
Delta Air Lines,70,$58048MM,$4609MM,103000,Transportation,Atlanta,Georgia,no,no,yes,$30795.9MM,https://www.delta.com,DAL,$73644MM,58048.0,4609.0,30795.9,73644.0,0,0,0
TD Synnex,71,$57555.4MM,$626.9MM,28000,Wholesalers,Fremont,California,no,no,yes,$9856.6MM,https://www.tdsynnex.com,SNX,$29412.8MM,57555.4,626.9,9856.6,29412.8,0,0,0
Publix Super Markets,72,$57534MM,$4349MM,253000,Food & Drug Stores,Lakeland,Florida,no,no,yes,$NAMM,https://www.publix.com,PFE,$34384MM,57534.0,4349.0,,34384.0,0,0,0
